District,Season,Crop,Area (ha),Production (tonnes),Yield,Yield Unit,Source
Layyah,2020-21,bajra,46721.0,41888.0,0.8966,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Layyah,2021-22,bajra,16350.0,15461.0,0.9456,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Layyah,2022-23,bajra,9742.0,9427.0,0.9677,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Layyah,2023-24,bajra,8993.0,8827.0,0.9815,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Layyah,2024-25,bajra,7351.0,7310.0,0.9944,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Lodhran,2017-18,bajra,700.0,700.0,1.0,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Lodhran,2018-19,bajra,600.0,700.0,1.1667,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Lodhran,2019-20,bajra,970.0,1100.0,1.134,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Lodhran,2020-21,bajra,454.0,509.0,1.1211,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Lodhran,2021-22,bajra,29.0,58.0,2.0,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mandi Bahauddin,2017-18,bajra,11800.0,9600.0,0.8136,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mandi Bahauddin,2018-19,bajra,10900.0,8900.0,0.8165,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mandi Bahauddin,2019-20,bajra,9630.0,7500.0,0.7788,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mandi Bahauddin,2020-21,bajra,4402.0,3125.0,0.7099,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mianwali,2017-18,bajra,23400.0,13100.0,0.5598,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mianwali,2018-19,bajra,23600.0,18400.0,0.7797,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mianwali,2019-20,bajra,24360.0,20200.0,0.8292,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mianwali,2020-21,bajra,19353.0,16904.0,0.8735,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mianwali,2021-22,bajra,20164.0,21410.0,1.0618,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mianwali,2022-23,bajra,28213.0,24076.0,0.8534,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mianwali,2023-24,bajra,21436.0,45245.0,2.1107,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Mianwali,2024-25,bajra,26283.0,37749.0,1.4363,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Multan,2017-18,bajra,700.0,300.0,0.4286,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Multan,2018-19,bajra,600.0,300.0,0.5,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Multan,2019-20,bajra,610.0,300.0,0.4918,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Multan,2020-21,bajra,300.0,215.0,0.7167,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Multan,2022-23,bajra,114.0,216.0,1.8947,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Muzaffargarh,2017-18,bajra,19300.0,15300.0,0.7927,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
Muzaffargarh,2018-19,bajra,20900.0,16800.0,0.8038,t/ha,PBS Crops Area and Production by Districts (all_crops_2015_2025)
